Community Hospital ,2,10034,Tallassee,Ala.,Nonprofit and/or government,,51-100,,,South ,No,,,Yes,No search tool,Yes,http://www.chal.org/financial_assistance_policy_and_application_final.pdf,"Some, but not all",http://www.chal.org/financial_assistance_policy_and_application_final.pdf,100% FPL,Blue,100%-200% FPL,Blue,No,No,Black,No,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,No,Blue,*Not mentioned in policy and hospital did not provide data requested by KHN,35% discount for patients who pay in full,,http://www.chal.org,,74688
Ascension St. Vincent's Birmingham,3,10056,Birmingham,Ala.,Nonprofit and/or government,Ascension,More than 250,,,South ,No,,,Yes,Yes,Yes,https://healthcare.ascension.org/locations/alabama/albir/birmingham-ascension-st-vincents-birmingham/financial-assistance-english,Yes,https://healthcare.ascension.org/-/media/healthcare/financial-assistance/alabama/albir/billing-collection-policy/runningfile_albir_english_health-billing-and-collections-policy.pdf,250% FPL,Blue,251%-400% FPL,Blue,"Yes, assets must not exceed 250% FPL",Bills exceeding annual income,Blue,Yes (counties in service area),Yes*,Blue,Yes,Yes*,Blue,"Yes (but Ascension ceased taking legal action againsgt patients in Oct. 2019, according to Nick Ragone)","Yes (but Ascension ceased taking legal action againsgt patients in Oct. 2019, according to Nick Ragone)",Yes*,Blue,Yes*,Blue,"*Allowed, but not a current practice, according to spokesperson Nick Ragone",FAP is very easy to find,,https://healthcare.ascension.org/locations/alabama/albir/birmingham-ascension-st-vincents-birmingham,,07000
Ascension Providence ,4,10090,Mobile,Ala.,Nonprofit and/or government,Ascension,More than 250,,,South ,No,,,Yes,Yes,Yes,https://healthcare.ascension.org/locations/alabama/almob/mobile-providence-hospital/financial-assistance,Yes,https://healthcare.ascension.org/-/media/healthcare/financial-assistance/alabama/almob/billing-collection-policy/runningfile_almob_english_health-billing-and-collections-policy.pdf,250% FPL,Blue,251-400% FPL,Blue,"Yes, assets must not exceed 250% FPL",Bills exceeding annual income,Blue,Yes (counties in service area),Yes*,Blue,Yes,Yes*,Blue,"Yes (but Ascension ceased taking legal action againsgt patients in Oct. 2019, according to Nick Ragone)","Yes (but Ascension ceased taking legal action againsgt patients in Oct. 2019, according to Nick Ragone)",Yes*,Blue,Yes*,Blue,"*Allowed, but not a current practice, according to spokesperson Nick Ragone",FAP is very easy to find,,,,50000
Grandview Medical Center,5,10104,Birmingham,Ala.,For-profit,Community Health Systems ,More than 250,,,South ,No,,,No,No,No ,,No,,100% FPL*,Purple,100%-400% FPL (uninsured only)*,Purple,"Yes, according to website","Yes, but no standards specified*",Purple,"No, according to website",Yes*,Purple,"No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt",No*,Purple,"No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt",Yes*,Purple,No*,Purple,*According to spokesperson Rebecca Pitt,"https://www.grandviewhealth.com/financial-assistance-program

The financial information explains that they give discounts for patients who need financial assistance, but does not provide specifics on the FPL to qualify",,https://www.grandviewhealth.com/hospitals,,07000
Jackson Medical Center,6,10128,Jackson ,Ala.,For-profit,Gilliard Health Services,26-50,,,South ,No,,,No,No,No,,No,,Unclear*,Red,Unclear*,Red,Unclear - no avaliable policy,Unclear*,Red,Unclear - no avaliable policy,Unclear*,Red,Unclear - no avaliable policy,Unclear*,Red,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,No FAP or information available -- just a phone number to call the Business office for more information,,https://www.jmc.org,
North Alabama Shoals Hospital,7,10157,Muscle Shoals,Ala.,For-profit,Lifepoint Health,101-250,,,South ,No,,,No,No,No,,No,,150% FPL* ,Purple,n/a,Black,"Yes, according to financial assistance application",Bills exceeding 20% of income*,Purple,"No, not mentioned in the financial assistance policy, but not a practice of the hospital, according to Michelle Augusty",No**,Purple,"Yes, not mentioned in the Financial Assistance Policy, but is a practice of the hospital, according to Michelle Augusty",Yes**,Purple,"No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Michelle Augusty","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Michelle Augusty",No**,Purple,No**,Purple,"*According to online notice of availability of charity care/financial assistance
**According to spokesperson Michelle Augusty","Application: https://www.namcshoals.com/sites/shoals/assets/uploads/Patients%20&%20Visitors/finanacial_assistance_app.pdf 
Notice of assistance (with very little detail)
https://www.namcshoals.com/sites/shoals/assets/uploads/Patients%20&%20Visitors/finanacial_assistance_notice.pdf",,https://www.namcshoals.com/,,53016
onorHealth John C. Lincoln Medical CenterH,8,30014,Phoenix,Ariz.,Nonprofit and/or government,HonorHealth,More than 250,,,West,Yes,,,No,Yes,Yes,https://www.honorhealth.com/sites/default/files/documents/patient-and-visitors/2022-honorhealth-financial-assistance-policy-english.pdf,"Some, but not all",,200% FPL,Blue,201%-500% FPL,Blue,Yes,Bills exceeding 15% of income,Blue,No,No*,Purple,Yes,No*,Purple,"Yes (though not currently a practice, according to Belle Butler)","No; not mentioned in policy, but not a practice, according to Belle Butler",Yes**,Blue,No*,Purple,"*According to Belle Butler, vice president of revenue cycle operations
**Allowed but not a current practice, according to Butler","""Ordinarily, HonorHealth will not engage in ECAs. However, in
certain circumstances HonorHealth and its collection agencies may take legal
actions to obtain amounts due more than 120 days after the first post-discharge
billing statement has been sent. The Patient Financial Services Director is
responsible for determining that a reasonable effort has been made to determine
FAP eligibility and that an ECA can occur in accordance with the policy."" -- FAP page 6, section 2",,,,55000
Abrazo Arrowhead Campus,9,30094,Glendale,Ariz.,For-profit,Tenet Healthcare,101-250,,,West,Yes,,,No,No,No,,No,,200% FPL* ,Purple,n/a,Black,"No, according to Lesley Bogdanow",Bills exceeding 10% of income*,Purple,"No, according to Lesley Bogdanow",No*,Purple,"Yes; no available policy, but is a practice, according to Lesley Bogdanow",No*,Purple,"No; no available policy, but not a practice, according to Lesley Bogdanow","No; no available policy, but not a practice, according to Lesley Bogdanow",No* ,Purple,No*,Purple,*According to spokesperson Lesley Bogdanow,"https://www.abrazohealth.com/patients/family-assistance-program

Some info about Charity Care, but no other info about FAP or collections",,https://www.wickhosp.com/,,27820
Wickenburg Community Hospital,10,31300,Wickenburg,Ariz.,Nonprofit and/or government,,25 or fewer,,,West,Yes,,,"Yes, bottom of page",No search tool,Yes,https://www.wickhosp.com/wp-content/uploads/2016/01/Financial-Assistance-Policy.pdf,No,,200% FPL,Blue,n/a,Black,"Yes, according to the financial assistance application","Yes, but no standards specified*",Purple,No,Yes**,Purple,"Yes; no available policty, but is a practice, according to Terrie Davidson",No**,Purple,"No; no available policty, but is not a practice, according to Terrie Davidson","No; no available policty, but is not a practice, according to Terrie Davidson",No**,Purple,No**,Purple,"*According to website FAQs
**According to spokesperson Terrie Davidson",,,,,82740
Little Colorado Medical Center,11,31311,Winslow,Ariz.,Nonprofit and/or government,,25 or fewer,,,West,Yes,,,No,No search tool,Yes,https://www.lcmcwmh.com/file/a587abfe-b07a-4c0d-87a0-b0278c60fca0,No,,125% FPL,Blue,126%-300% FPL,Blue,Yes,"Yes, but no standards specified",Blue,No,Unclear*,Red,Unclear; no avaliable policy,Unclear*,Red,Unclear; no avaliable policy,Unclear; no avaliable policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,"FAP last revised in 2018

Sliding Fee Discoutn: https://www.lcmcwmh.com/file/ac4a2642-d40c-4426-bae2-510eb714a1a9",,https://www.lcmcwmh.com,,83930
