fips,state,county,gender,year,value1,value2,value3,value4,value5,value6
,National,,Both,2003,24.16,24,24.4,18.18,18.04,18.39
,Alabama,,Both,2003,27.05,26.52,27.69,20.89,20.38,21.47
01001,Alabama,Autauga County,Both,2003,26.26,23.53,29.59,20.76,18.26,23.77
01003,Alabama,Baldwin County,Both,2003,25.45,23.02,28.14,19.56,17.35,21.89
01005,Alabama,Barbour County,Both,2003,28.32,25,31.91,21.58,18.69,24.72
01007,Alabama,Bibb County,Both,2003,31.13,27.63,34.88,25.3,21.99,28.66
01009,Alabama,Blount County,Both,2003,29.81,26.73,33.51,24.45,21.52,28.05
01011,Alabama,Bullock County,Both,2003,29.16,25.78,32.96,21.48,18.48,24.66
01013,Alabama,Butler County,Both,2003,28.09,24.78,31.35,22.09,19.29,25.37
01015,Alabama,Calhoun County,Both,2003,29.13,26.21,31.81,22.64,19.86,25.21
01017,Alabama,Chambers County,Both,2003,29.43,26.14,33.05,23.16,20.14,26.4
01019,Alabama,Cherokee County,Both,2003,28.35,25,32.01,23.6,20.61,27.04
01021,Alabama,Chilton County,Both,2003,29.43,26.18,33.12,23.89,20.89,27.26
01023,Alabama,Choctaw County,Both,2003,25.34,22.33,28.83,19.67,16.82,22.8
01025,Alabama,Clarke County,Both,2003,25.63,22.56,29.11,19.7,17.18,22.8
01027,Alabama,Clay County,Both,2003,30.85,27.29,34.38,25.03,21.82,28.42
01029,Alabama,Cleburne County,Both,2003,29.8,26.37,33.75,24.5,21.31,28.1
01031,Alabama,Coffee County,Both,2003,26.68,23.79,29.82,20.56,17.93,23.42
01033,Alabama,Colbert County,Both,2003,28.57,25.43,31.88,22.96,19.98,26
01035,Alabama,Conecuh County,Both,2003,26.6,23.48,29.77,21.22,18.27,24.36
01037,Alabama,Coosa County,Both,2003,30.87,27.15,34.45,24.34,21.27,27.54
01039,Alabama,Covington County,Both,2003,29.45,26.24,33.05,24.13,21.02,27.45
01041,Alabama,Crenshaw County,Both,2003,28.84,25.45,32.98,23.13,20.09,26.81
01043,Alabama,Cullman County,Both,2003,31,27.79,34.53,25,22.01,28.61
01045,Alabama,Dale County,Both,2003,26.91,23.99,30.46,20.92,18.37,23.93
01047,Alabama,Dallas County,Both,2003,27.16,24.18,30.67,20.45,17.74,23.69
01049,Alabama,DeKalb County,Both,2003,30.02,26.86,33.61,24.71,21.69,28.16
01051,Alabama,Elmore County,Both,2003,27.5,24.41,30.65,21.87,19.05,24.83
01053,Alabama,Escambia County,Both,2003,30.01,26.73,33.56,23.99,21.07,27.38
01055,Alabama,Etowah County,Both,2003,29.2,26.29,32.23,23.51,20.84,26.52
01057,Alabama,Fayette County,Both,2003,28.76,25.39,32.55,23.89,20.54,27.44
01059,Alabama,Franklin County,Both,2003,30.36,26.92,34.31,24.27,21.02,28.07
01061,Alabama,Geneva County,Both,2003,30.58,27.03,34.22,24.96,21.66,28.5
01063,Alabama,Greene County,Both,2003,26.58,23.22,30.17,19.72,16.84,23
01065,Alabama,Hale County,Both,2003,28.56,25.14,32.16,21.9,18.92,25.59
01067,Alabama,Henry County,Both,2003,26.46,23.03,30.16,20.95,18.05,24.34
01069,Alabama,Houston County,Both,2003,26.55,23.9,29.5,20.99,18.41,23.86
01071,Alabama,Jackson County,Both,2003,32.19,28.91,35.76,26.51,23.58,29.92
01073,Alabama,Jefferson County,Both,2003,26.34,24.77,28.05,19.48,17.98,21.04
01075,Alabama,Lamar County,Both,2003,28.51,25.05,32.24,23,20.11,26.65
01077,Alabama,Lauderdale County,Both,2003,26.7,23.77,29.74,21.31,18.6,24.24
01079,Alabama,Lawrence County,Both,2003,29.99,26.72,33.55,23.72,20.62,27.2
01081,Alabama,Lee County,Both,2003,23.38,20.86,26,17.22,15.08,19.55
01083,Alabama,Limestone County,Both,2003,28.2,25.18,31.35,21.76,18.91,24.71
01085,Alabama,Lowndes County,Both,2003,26.65,23.31,30.4,19.69,17.06,22.77
01087,Alabama,Macon County,Both,2003,24.53,21.5,27.75,17.52,15.13,20.5
01089,Alabama,Madison County,Both,2003,22.89,20.8,25.11,16.83,14.91,18.87
01091,Alabama,Marengo County,Both,2003,24.81,21.81,27.91,19.2,16.63,22.26
01093,Alabama,Marion County,Both,2003,29.87,26.65,33.13,24.06,20.97,27.14
01095,Alabama,Marshall County,Both,2003,31.58,28.54,34.87,25.78,22.71,28.87
01097,Alabama,Mobile County,Both,2003,28.33,26.2,30.41,21.48,19.62,23.64
01099,Alabama,Monroe County,Both,2003,26.77,23.63,30.18,21.16,18.24,24.32
01101,Alabama,Montgomery County,Both,2003,23.64,21.53,25.9,17.4,15.38,19.45
01103,Alabama,Morgan County,Both,2003,29.95,27.1,32.99,23.07,20.34,25.86
01105,Alabama,Perry County,Both,2003,26.48,23.31,30.09,19.6,16.91,22.61
01107,Alabama,Pickens County,Both,2003,26.36,23.28,29.74,20.7,17.82,23.72
01109,Alabama,Pike County,Both,2003,25.7,22.7,29.05,19.59,16.83,22.5
01111,Alabama,Randolph County,Both,2003,29.46,26.28,32.94,23.21,20.38,26.49
01113,Alabama,Russell County,Both,2003,29.15,25.8,32.63,22.35,19.34,25.54
01115,Alabama,St. Clair County,Both,2003,29.99,26.94,33.31,23.95,21.08,27.11
01117,Alabama,Shelby County,Both,2003,21.18,19,23.62,15.5,13.63,17.62
